STRUCTURE,STRUCTURE_ID,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,LAST UPDATE
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,RS,2021-S1,9.2971,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,RS,2021-S2,9.5378,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,RS,2022-S1,9.5041,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,RS,2022-S2,10.2021,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,RS,2023-S1,11.3099,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,RS,2023-S2,12.2637,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2019-S1,2.1385,e,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2019-S2,2.1866,e,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2020-S1,2.0407,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2020-S2,2.0803,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2021-S1,2.1419,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2021-S2,2.6465,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2022-S1,2.3871,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2022-S2,2.9533,,25/04/24 09:10:00
